title,aggregation1,metric1
INDEX,_audit,291
INDEX,_internal,1117
INDEX,_introspection,1507
INDEX,_telemetry,2
INDEX,_thefishbucket,1
INDEX,airport_geolocation_index,1
INDEX,aruba,1
CISCO,cisco_asa,4
CISCO,cisco_asa_sample,1
CISCO,cisco_sample,1
INDEX,fortigate_bst,1
INDEX,history,1
INMIND,inmind_internal,55
INMIND,inmind_wineventlog,3
INDEX,main,12
INDEX,msad,6
INDEX,os,3185
INDEX,perfmon,295
INDEX,splunklogger,0
INDEX,summary,1
WINDOWS,test_wineventlog,8
INDEX,unix_summary,1
INDEX,us_domestic_flights_data,1
WINDOWS,windows,1
WINDOWS,wineventlog,1
WINDOWS,winevents,1
